[run number],influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
1,0,0,100,2,FALSE,0,5,48.53076217
16,0,0,100,2,FALSE,10,5,48.4389348
5,0,0,100,10,FALSE,0,5,26.78808285
2,0,0,100,4,FALSE,0,5,31.17539027
3,0,0,100,6,FALSE,0,5,28.67768595
4,0,0,100,8,FALSE,0,5,27.50229568
17,0,0,100,4,FALSE,10,5,33.53229262
6,0,0,100,12,FALSE,0,5,26.75098088
8,0,0,100,16,FALSE,0,5,25.8677686
11,0,0,100,22,FALSE,0,5,24.13529232
19,0,0,100,8,FALSE,10,5,28.28938738
7,0,0,100,14,FALSE,0,5,25.63043018
9,0,0,100,18,FALSE,0,5,25.4442824
12,0,0,100,24,FALSE,0,5,24.87124206
18,0,0,100,6,FALSE,10,5,29.7979798
13,0,0,100,26,FALSE,0,5,25.31313131
10,0,0,100,20,FALSE,0,5,26.071722
15,0,0,100,30,FALSE,0,5,24.94379532
31,0,0,100,2,FALSE,20,5,48.4389348
20,0,0,100,10,FALSE,10,5,28.09407203
26,0,0,100,22,FALSE,10,5,26.02868512
21,0,0,100,12,FALSE,10,5,27.74438601
14,0,0,100,28,FALSE,0,5,24.84270313
27,0,0,100,24,FALSE,10,5,26.62394698
23,0,0,100,16,FALSE,10,5,27.3553719
30,0,0,100,30,FALSE,10,5,25.88740065
22,0,0,100,14,FALSE,10,5,27.56586847
28,0,0,100,26,FALSE,10,5,27.10192837
32,0,0,100,4,FALSE,20,5,32.76706459
25,0,0,100,20,FALSE,10,5,26.57918902
29,0,0,100,28,FALSE,10,5,26.21331157
37,0,0,100,14,FALSE,20,5,24.45080172
24,0,0,100,18,FALSE,10,5,26.72446389
48,0,0,100,6,FALSE,30,5,23.71900826
33,0,0,100,6,FALSE,20,5,28.73278237
42,0,0,100,24,FALSE,20,5,25.50205613
34,0,0,100,8,FALSE,20,5,26.64961301
36,0,0,100,12,FALSE,20,5,25.66574839
47,0,0,100,4,FALSE,30,5,28.97153352
46,0,0,100,2,FALSE,30,5,44.49035813
35,0,0,100,10,FALSE,20,5,27.09417406
38,0,0,100,16,FALSE,20,5,24.35567799
40,0,0,100,20,FALSE,20,5,24.42366246
43,0,0,100,26,FALSE,20,5,23.97612489
44,0,0,100,28,FALSE,20,5,25.56371799
39,0,0,100,18,FALSE,20,5,24.12088802
45,0,0,100,30,FALSE,20,5,24.72214306
50,0,0,100,10,FALSE,30,5,22.70686665
41,0,0,100,22,FALSE,20,5,23.91665573
51,0,0,100,12,FALSE,30,5,21.24968695
55,0,0,100,20,FALSE,30,5,20.18027162
49,0,0,100,8,FALSE,30,5,23.86855569
62,0,0,100,4,FALSE,40,5,23.61493725
54,0,0,100,18,FALSE,30,5,21.40387836
64,0,0,100,8,FALSE,40,5,20.44470681
58,0,0,100,26,FALSE,30,5,19.17906336
52,0,0,100,14,FALSE,30,5,21.27922582
61,0,0,100,2,FALSE,40,5,39.53168044
65,0,0,100,10,FALSE,40,5,16.89113356
53,0,0,100,16,FALSE,30,5,20.33363942
63,0,0,100,6,FALSE,40,5,21.8640955
56,0,0,100,22,FALSE,30,5,19.23783287
66,0,0,100,12,FALSE,40,5,17.6016362
60,0,0,100,30,FALSE,30,5,18.68686869
59,0,0,100,28,FALSE,30,5,18.60184335
67,0,0,100,14,FALSE,40,5,17.40834923
68,0,0,100,16,FALSE,40,5,18.25834099
70,0,0,100,20,FALSE,40,5,16.45884684
77,0,0,100,4,FALSE,50,5,20.21732476
69,0,0,100,18,FALSE,40,5,16.29935721
79,0,0,100,8,FALSE,50,5,16.54860291
57,0,0,100,24,FALSE,30,5,20.21998643
78,0,0,100,6,FALSE,50,5,16.39118457
72,0,0,100,24,FALSE,40,5,17.12979598
71,0,0,100,22,FALSE,40,5,16.97275788
76,0,0,100,2,FALSE,50,5,34.48117539
75,0,0,100,30,FALSE,40,5,16.99914506
74,0,0,100,28,FALSE,40,5,15.92184471
91,0,0,100,2,FALSE,60,5,29.33884298
81,0,0,100,12,FALSE,50,5,14.92194674
83,0,0,100,16,FALSE,50,5,15.19742883
82,0,0,100,14,FALSE,50,5,14.51931906
80,0,0,100,10,FALSE,50,5,13.23844506
92,0,0,100,4,FALSE,60,5,16.26874809
93,0,0,100,6,FALSE,60,5,15.23415978
73,0,0,100,26,FALSE,40,5,14.33425161
84,0,0,100,18,FALSE,50,5,14.74909523
88,0,0,100,26,FALSE,50,5,14.11019284
87,0,0,100,24,FALSE,50,5,14.68239709
86,0,0,100,22,FALSE,50,5,12.78368097
94,0,0,100,8,FALSE,60,5,13.84625476
85,0,0,100,20,FALSE,50,5,12.91141076
95,0,0,100,10,FALSE,60,5,12.55484134
97,0,0,100,14,FALSE,60,5,10.60606061
96,0,0,100,12,FALSE,60,5,12.86000501
90,0,0,100,30,FALSE,50,5,12.33494823
89,0,0,100,28,FALSE,50,5,12.91874979
106,0,0,100,2,FALSE,70,5,26.76767677
109,0,0,100,8,FALSE,70,5,10.94713367
110,0,0,100,10,FALSE,70,5,11.41210081
98,0,0,100,16,FALSE,60,5,9.791857974
107,0,0,100,4,FALSE,70,5,15.22803796
100,0,0,100,20,FALSE,60,5,10.95403799
101,0,0,100,22,FALSE,60,5,9.980759981
105,0,0,100,30,FALSE,60,5,11.32801368
108,0,0,100,6,FALSE,70,5,13.15886134
99,0,0,100,18,FALSE,60,5,12.26975639
111,0,0,100,12,FALSE,70,5,10.45579765
104,0,0,100,28,FALSE,60,5,9.898649798
112,0,0,100,14,FALSE,70,5,10.84622448
103,0,0,100,26,FALSE,60,5,11.02112029
114,0,0,100,18,FALSE,70,5,10.80592016
121,0,0,100,2,FALSE,80,5,22.72727273
115,0,0,100,20,FALSE,70,5,10.32574549
113,0,0,100,16,FALSE,70,5,9.608203245
116,0,0,100,22,FALSE,70,5,10.83781538
102,0,0,100,24,FALSE,60,5,12.2389907
124,0,0,100,8,FALSE,80,5,9.241768333
122,0,0,100,4,FALSE,80,5,11.64677074
118,0,0,100,26,FALSE,70,5,9.573921028
117,0,0,100,24,FALSE,70,5,10.33457101
123,0,0,100,6,FALSE,80,5,11.04683196
125,0,0,100,10,FALSE,80,5,9.983675135
120,0,0,100,30,FALSE,70,5,11.27735031
119,0,0,100,28,FALSE,70,5,10.0755025
126,0,0,100,12,FALSE,80,5,8.185157359
136,0,0,100,2,FALSE,90,5,18.87052342
137,0,0,100,4,FALSE,90,5,10.69788797
127,0,0,100,14,FALSE,80,5,8.571731299
129,0,0,100,18,FALSE,80,5,10.4926268
128,0,0,100,16,FALSE,80,5,10.73461892
130,0,0,100,20,FALSE,80,5,8.91933691
138,0,0,100,6,FALSE,90,5,8.659320478
131,0,0,100,22,FALSE,80,5,8.905067996
133,0,0,100,26,FALSE,80,5,9.533516988
139,0,0,100,8,FALSE,90,5,8.572740391
134,0,0,100,28,FALSE,80,5,8.072305547
140,0,0,100,10,FALSE,90,5,7.157432915
142,0,0,100,14,FALSE,90,5,7.808857809
132,0,0,100,24,FALSE,80,5,8.042879387
141,0,0,100,12,FALSE,90,5,9.128474831
135,0,0,100,30,FALSE,80,5,9.108324626
143,0,0,100,16,FALSE,90,5,7.257422712
144,0,0,100,18,FALSE,90,5,9.282666235
