,influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
0,0.0,0.0,100.0,2.0,0.0,0.0,80.0,50.0
1,0.0,0.0,100.0,2.0,0.0,10.0,80.0,50.0
2,0.0,0.0,100.0,2.0,0.0,20.0,80.0,49.3902662992
3,0.0,0.0,100.0,2.0,0.0,30.0,80.0,45.287419651
4,0.0,0.0,100.0,2.0,0.0,40.0,80.0,39.605142332
5,0.0,0.0,100.0,2.0,0.0,50.0,80.0,33.878787879399994
6,0.0,0.0,100.0,2.0,0.0,60.0,80.0,29.7759412314
7,0.0,0.0,100.0,2.0,0.0,70.0,80.0,26.3526170802
8,0.0,0.0,100.0,2.0,0.0,80.0,80.0,23.588613406800004
9,0.0,0.0,100.0,2.0,0.0,90.0,80.0,21.1698806246
10,0.0,0.0,100.0,2.0,0.0,100.0,80.0,18.931129476400002
11,0.0,0.0,100.0,6.0,0.0,0.0,80.0,30.015794306800004
12,0.0,0.0,100.0,6.0,0.0,10.0,80.0,40.3327823696
13,0.0,0.0,100.0,6.0,0.0,20.0,80.0,45.2481175394
14,0.0,0.0,100.0,6.0,0.0,30.0,80.0,34.4422405884
15,0.0,0.0,100.0,6.0,0.0,40.0,80.0,25.2499540864
16,0.0,0.0,100.0,6.0,0.0,50.0,80.0,19.910009183000003
17,0.0,0.0,100.0,6.0,0.0,60.0,80.0,16.293112948199997
18,0.0,0.0,100.0,6.0,0.0,70.0,80.0,13.691460055
19,0.0,0.0,100.0,6.0,0.0,80.0,80.0,11.883930211140001
20,0.0,0.0,100.0,6.0,0.0,90.0,80.0,10.40918273622
21,0.0,0.0,100.0,6.0,0.0,100.0,80.0,9.579797979940002
22,0.0,0.0,100.0,4.0,0.0,0.0,80.0,33.348637894
23,0.0,0.0,100.0,4.0,0.0,10.0,80.0,47.19620446839999
24,0.0,0.0,100.0,4.0,0.0,20.0,80.0,47.896541169
25,0.0,0.0,100.0,4.0,0.0,30.0,80.0,38.245485153999994
26,0.0,0.0,100.0,4.0,0.0,40.0,80.0,29.110498928000002
27,0.0,0.0,100.0,4.0,0.0,50.0,80.0,23.3241505968
28,0.0,0.0,100.0,4.0,0.0,60.0,80.0,19.261707989399998
29,0.0,0.0,100.0,4.0,0.0,70.0,80.0,16.115090297000002
30,0.0,0.0,100.0,4.0,0.0,80.0,80.0,14.277930823400002
