[run number],influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
1,0,0,1,2,TRUE,0,80,0.226420171
5,0,0,1,10,TRUE,0,80,0.936003849
16,0,0,1,2,TRUE,10,80,0.267758223
2,0,0,1,4,TRUE,0,80,0.258583443
3,0,0,1,6,TRUE,0,80,0.432012765
4,0,0,1,8,TRUE,0,80,1.343840912
9,0,0,1,18,TRUE,0,80,0.723105932
17,0,0,1,4,TRUE,10,80,-0.767945754
6,0,0,1,12,TRUE,0,80,1.401960954
10,0,0,1,20,TRUE,0,80,0.924283101
11,0,0,1,22,TRUE,0,80,0.619783156
8,0,0,1,16,TRUE,0,80,0.762214964
13,0,0,1,26,TRUE,0,80,0.790180219
7,0,0,1,14,TRUE,0,80,1.423411231
18,0,0,1,6,TRUE,10,80,0.108893043
19,0,0,1,8,TRUE,10,80,-0.432031152
14,0,0,1,28,TRUE,0,80,0.602500592
12,0,0,1,24,TRUE,0,80,0.812417421
20,0,0,1,10,TRUE,10,80,-0.353346219
31,0,0,1,2,TRUE,20,80,-1.55686987
15,0,0,1,30,TRUE,0,80,0.60390571
24,0,0,1,18,TRUE,10,80,-0.129270344
23,0,0,1,16,TRUE,10,80,0.199733444
32,0,0,1,4,TRUE,20,80,-0.506797951
21,0,0,1,12,TRUE,10,80,0.025916808
22,0,0,1,14,TRUE,10,80,0.095584607
33,0,0,1,6,TRUE,20,80,0.518543056
25,0,0,1,20,TRUE,10,80,-0.019068685
26,0,0,1,22,TRUE,10,80,-0.162225394
27,0,0,1,24,TRUE,10,80,-0.206851828
34,0,0,1,8,TRUE,20,80,0.09165229
36,0,0,1,12,TRUE,20,80,0.298662069
29,0,0,1,28,TRUE,10,80,0.218117971
35,0,0,1,10,TRUE,20,80,0.297397471
38,0,0,1,16,TRUE,20,80,-0.157123477
28,0,0,1,26,TRUE,10,80,-0.061202069
46,0,0,1,2,TRUE,30,80,0.114541533
37,0,0,1,14,TRUE,20,80,-0.107511856
39,0,0,1,18,TRUE,20,80,-0.192833004
30,0,0,1,30,TRUE,10,80,0.051507129
40,0,0,1,20,TRUE,20,80,0.314418658
47,0,0,1,4,TRUE,30,80,-0.631099877
48,0,0,1,6,TRUE,30,80,0.385951874
41,0,0,1,22,TRUE,20,80,-0.293426585
49,0,0,1,8,TRUE,30,80,-0.047568264
43,0,0,1,26,TRUE,20,80,-0.271992585
42,0,0,1,24,TRUE,20,80,0.030614691
51,0,0,1,12,TRUE,30,80,0.152982041
50,0,0,1,10,TRUE,30,80,0.663728341
44,0,0,1,28,TRUE,20,80,-0.333373004
45,0,0,1,30,TRUE,20,80,0.472266659
52,0,0,1,14,TRUE,30,80,-0.20833415
61,0,0,1,2,TRUE,40,80,-0.102874798
53,0,0,1,16,TRUE,30,80,0.205093004
62,0,0,1,4,TRUE,40,80,0.736914231
54,0,0,1,18,TRUE,30,80,-0.257636015
55,0,0,1,20,TRUE,30,80,-0.041509151
64,0,0,1,8,TRUE,40,80,0.047787062
63,0,0,1,6,TRUE,40,80,0.39595421
57,0,0,1,24,TRUE,30,80,0.250572112
56,0,0,1,22,TRUE,30,80,0.193240857
65,0,0,1,10,TRUE,40,80,-0.056478466
66,0,0,1,12,TRUE,40,80,0.473690156
59,0,0,1,28,TRUE,30,80,0.303990524
67,0,0,1,14,TRUE,40,80,-0.160170363
58,0,0,1,26,TRUE,30,80,0.216995546
76,0,0,1,2,TRUE,50,80,0.71279807
69,0,0,1,18,TRUE,40,80,0.146362454
70,0,0,1,20,TRUE,40,80,0.056323866
68,0,0,1,16,TRUE,40,80,0.284596373
60,0,0,1,30,TRUE,30,80,-0.221900109
77,0,0,1,4,TRUE,50,80,-0.785887988
71,0,0,1,22,TRUE,40,80,-0.098657515
79,0,0,1,8,TRUE,50,80,0.411894271
80,0,0,1,10,TRUE,50,80,0.532375352
81,0,0,1,12,TRUE,50,80,-0.322038281
74,0,0,1,28,TRUE,40,80,0.02188147
78,0,0,1,6,TRUE,50,80,-0.046271388
73,0,0,1,26,TRUE,40,80,-0.025747505
72,0,0,1,24,TRUE,40,80,-0.12984296
91,0,0,1,2,TRUE,60,80,-0.206581617
82,0,0,1,14,TRUE,50,80,-0.223380726
83,0,0,1,16,TRUE,50,80,-0.395833551
75,0,0,1,30,TRUE,40,80,-0.153844546
84,0,0,1,18,TRUE,50,80,0.248312542
92,0,0,1,4,TRUE,60,80,-0.17965626
93,0,0,1,6,TRUE,60,80,0.346359221
85,0,0,1,20,TRUE,50,80,0.15940223
86,0,0,1,22,TRUE,50,80,0.334527861
95,0,0,1,10,TRUE,60,80,-0.99173007
94,0,0,1,8,TRUE,60,80,0.267358407
87,0,0,1,24,TRUE,50,80,-0.116014554
96,0,0,1,12,TRUE,60,80,0.285206881
88,0,0,1,26,TRUE,50,80,0.084625574
89,0,0,1,28,TRUE,50,80,0.196492879
97,0,0,1,14,TRUE,60,80,0.12672243
106,0,0,1,2,TRUE,70,80,-0.309102768
98,0,0,1,16,TRUE,60,80,-0.243998746
