,influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
0,0.0,0.0,1.0,2.0,1.0,0.0,320.0,0.36363505066
1,0.0,0.0,1.0,2.0,1.0,10.0,320.0,0.17872881672
2,0.0,0.0,1.0,2.0,1.0,20.0,320.0,-0.08013914240000002
3,0.0,0.0,1.0,2.0,1.0,30.0,320.0,0.018358807560000013
4,0.0,0.0,1.0,2.0,1.0,40.0,320.0,0.0018083817999999948
5,0.0,0.0,1.0,2.0,1.0,50.0,320.0,0.15019321668000002
6,0.0,0.0,1.0,2.0,1.0,60.0,320.0,0.15500896939999997
7,0.0,0.0,1.0,2.0,1.0,70.0,320.0,-0.04655186974
8,0.0,0.0,1.0,2.0,1.0,80.0,320.0,0.08825586192000001
9,0.0,0.0,1.0,2.0,1.0,90.0,320.0,0.05408965361999998
10,0.0,0.0,1.0,2.0,1.0,100.0,320.0,-0.10807095148
11,0.0,0.0,1.0,4.0,1.0,0.0,320.0,0.72136815546
12,0.0,0.0,1.0,4.0,1.0,10.0,320.0,-0.009996575019999988
13,0.0,0.0,1.0,4.0,1.0,20.0,320.0,0.04178989637999999
14,0.0,0.0,1.0,4.0,1.0,30.0,320.0,0.040843148360000005
15,0.0,0.0,1.0,4.0,1.0,40.0,320.0,-0.05893832151999999
16,0.0,0.0,1.0,4.0,1.0,50.0,320.0,-0.11143929065999997
17,0.0,0.0,1.0,4.0,1.0,60.0,320.0,0.040384714579999995
18,0.0,0.0,1.0,4.0,1.0,70.0,320.0,-0.030460409359999982
19,0.0,0.0,1.0,4.0,1.0,80.0,320.0,-0.002407232860000009
20,0.0,0.0,1.0,4.0,1.0,90.0,320.0,-0.013940661419999993
21,0.0,0.0,1.0,4.0,1.0,100.0,320.0,0.006462518219999995
22,0.0,0.0,1.0,6.0,1.0,0.0,320.0,0.7540296772599998
23,0.0,0.0,1.0,6.0,1.0,10.0,320.0,0.07099697294
24,0.0,0.0,1.0,6.0,1.0,20.0,320.0,0.0638167302
25,0.0,0.0,1.0,6.0,1.0,30.0,320.0,0.1294717199
26,0.0,0.0,1.0,6.0,1.0,40.0,320.0,-0.04076499032
27,0.0,0.0,1.0,6.0,1.0,50.0,320.0,-0.10862688995999999
28,0.0,0.0,1.0,6.0,1.0,60.0,320.0,0.004666673979999997
29,0.0,0.0,1.0,6.0,1.0,70.0,320.0,0.002503321259999993
30,0.0,0.0,1.0,6.0,1.0,80.0,320.0,0.0835165939
31,0.0,0.0,1.0,6.0,1.0,90.0,320.0,0.014362659519999993
32,0.0,0.0,1.0,6.0,1.0,100.0,320.0,-0.10151038286
33,0.0,0.0,1.0,8.0,1.0,0.0,320.0,0.7531887518800002
34,0.0,0.0,1.0,8.0,1.0,10.0,320.0,0.12839838404
35,0.0,0.0,1.0,8.0,1.0,20.0,320.0,0.14180852647999997
36,0.0,0.0,1.0,8.0,1.0,30.0,320.0,0.011928494599999997
37,0.0,0.0,1.0,8.0,1.0,40.0,320.0,0.058415940099999994
38,0.0,0.0,1.0,8.0,1.0,50.0,320.0,-0.06354146682
39,0.0,0.0,1.0,8.0,1.0,60.0,320.0,-0.07410756786
40,0.0,0.0,1.0,8.0,1.0,70.0,320.0,0.026786135379999985
41,0.0,0.0,1.0,8.0,1.0,80.0,320.0,0.020406917399999988
42,0.0,0.0,1.0,8.0,1.0,90.0,320.0,0.0013157009199999937
43,0.0,0.0,1.0,8.0,1.0,100.0,320.0,-0.04362589593999999
44,0.0,0.0,1.0,12.0,1.0,0.0,320.0,0.7589164002600001
45,0.0,0.0,1.0,12.0,1.0,10.0,320.0,0.07609273012000002
46,0.0,0.0,1.0,12.0,1.0,20.0,320.0,0.030766936239999994
47,0.0,0.0,1.0,12.0,1.0,30.0,320.0,0.03041445242
48,0.0,0.0,1.0,12.0,1.0,40.0,320.0,0.009860360539999996
49,0.0,0.0,1.0,12.0,1.0,50.0,320.0,0.054772319140000005
50,0.0,0.0,1.0,12.0,1.0,60.0,320.0,0.028921731719999996
51,0.0,0.0,1.0,12.0,1.0,70.0,320.0,-0.01607347324
52,0.0,0.0,1.0,12.0,1.0,80.0,320.0,0.004978732739999995
53,0.0,0.0,1.0,12.0,1.0,90.0,320.0,-0.09325254400000002
54,0.0,0.0,1.0,12.0,1.0,100.0,320.0,-0.022702234280000004
55,0.0,0.0,1.0,10.0,1.0,0.0,320.0,0.7963357707000001
56,0.0,0.0,1.0,10.0,1.0,10.0,320.0,0.01118522092
57,0.0,0.0,1.0,10.0,1.0,20.0,320.0,0.02287956964000001
58,0.0,0.0,1.0,10.0,1.0,30.0,320.0,0.09214294222
59,0.0,0.0,1.0,10.0,1.0,40.0,320.0,-0.0254720734
60,0.0,0.0,1.0,10.0,1.0,50.0,320.0,0.029740802380000004
61,0.0,0.0,1.0,10.0,1.0,60.0,320.0,0.019371011880000007
62,0.0,0.0,1.0,10.0,1.0,70.0,320.0,0.018389355580000002
63,0.0,0.0,1.0,10.0,1.0,80.0,320.0,-0.03262343548
64,0.0,0.0,1.0,10.0,1.0,90.0,320.0,-0.000612588020000003
65,0.0,0.0,1.0,10.0,1.0,100.0,320.0,-0.0008611582599999967
66,0.0,0.0,1.0,14.0,1.0,0.0,320.0,0.8547386833199999
67,0.0,0.0,1.0,14.0,1.0,10.0,320.0,0.10779077546
68,0.0,0.0,1.0,14.0,1.0,20.0,320.0,0.06971708652
69,0.0,0.0,1.0,14.0,1.0,30.0,320.0,0.02628353165999999
70,0.0,0.0,1.0,14.0,1.0,40.0,320.0,0.011809030620000004
71,0.0,0.0,1.0,14.0,1.0,50.0,320.0,0.044598215120000013
72,0.0,0.0,1.0,14.0,1.0,60.0,320.0,0.011523166899999998
73,0.0,0.0,1.0,14.0,1.0,70.0,320.0,0.045478499699999994
74,0.0,0.0,1.0,14.0,1.0,80.0,320.0,-0.05521696588
75,0.0,0.0,1.0,14.0,1.0,90.0,320.0,-0.015890393560000004
76,0.0,0.0,1.0,14.0,1.0,100.0,320.0,-0.04812389110000001
77,0.0,0.0,1.0,16.0,1.0,0.0,320.0,0.81585909514
78,0.0,0.0,1.0,16.0,1.0,10.0,320.0,0.010617028560000009
79,0.0,0.0,1.0,16.0,1.0,20.0,320.0,0.05865736798000001
80,0.0,0.0,1.0,16.0,1.0,30.0,320.0,0.004768449700000005
81,0.0,0.0,1.0,16.0,1.0,40.0,320.0,0.02493266836
82,0.0,0.0,1.0,16.0,1.0,50.0,320.0,0.03248103062
83,0.0,0.0,1.0,16.0,1.0,60.0,320.0,0.019164458060000004
84,0.0,0.0,1.0,16.0,1.0,70.0,320.0,0.03768477448
85,0.0,0.0,1.0,16.0,1.0,80.0,320.0,0.00885511154
86,0.0,0.0,1.0,16.0,1.0,90.0,320.0,-0.06207732608000001
87,0.0,0.0,1.0,16.0,1.0,100.0,320.0,-0.006085640359999998
88,0.0,0.0,1.0,18.0,1.0,0.0,320.0,0.775494941
89,0.0,0.0,1.0,18.0,1.0,10.0,320.0,0.09973002124
90,0.0,0.0,1.0,18.0,1.0,20.0,320.0,0.041003297560000006
91,0.0,0.0,1.0,18.0,1.0,30.0,320.0,0.03136125384000001
92,0.0,0.0,1.0,18.0,1.0,40.0,320.0,0.02338948603999999
93,0.0,0.0,1.0,18.0,1.0,50.0,320.0,0.04363240052
94,0.0,0.0,1.0,18.0,1.0,60.0,320.0,0.02643812006
95,0.0,0.0,1.0,18.0,1.0,70.0,320.0,0.020420472760000002
96,0.0,0.0,1.0,18.0,1.0,80.0,320.0,0.05445698406
97,0.0,0.0,1.0,18.0,1.0,90.0,320.0,0.01901146690000001
98,0.0,0.0,1.0,18.0,1.0,100.0,320.0,-0.014400398559999998
99,0.0,0.0,1.0,20.0,1.0,0.0,320.0,0.80019090044
100,0.0,0.0,1.0,20.0,1.0,10.0,320.0,0.0859794583
101,0.0,0.0,1.0,20.0,1.0,20.0,320.0,0.026211747780000003
102,0.0,0.0,1.0,20.0,1.0,30.0,320.0,0.003295384599999998
103,0.0,0.0,1.0,20.0,1.0,40.0,320.0,0.03805623133999998
104,0.0,0.0,1.0,20.0,1.0,50.0,320.0,-0.004124472819999997
105,0.0,0.0,1.0,20.0,1.0,60.0,320.0,0.030161217779999996
106,0.0,0.0,1.0,20.0,1.0,70.0,320.0,0.02265955305999999
107,0.0,0.0,1.0,20.0,1.0,80.0,320.0,0.059771760320000006
108,0.0,0.0,1.0,20.0,1.0,90.0,320.0,0.02180275792
109,0.0,0.0,1.0,20.0,1.0,100.0,320.0,0.036802803540000005
110,0.0,0.0,1.0,22.0,1.0,0.0,320.0,0.8216855596800001
111,0.0,0.0,1.0,22.0,1.0,10.0,320.0,0.12465001336
112,0.0,0.0,1.0,22.0,1.0,20.0,320.0,0.02044679958
