[run number],influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
1,0,0,100,2,FALSE,0,40,50
16,0,0,100,2,FALSE,1,40,50
2,0,0,100,4,FALSE,0,40,34.08325681
3,0,0,100,6,FALSE,0,40,29.81634527
17,0,0,100,4,FALSE,1,40,32.95071931
9,0,0,100,18,FALSE,0,40,25.74677254
4,0,0,100,8,FALSE,0,40,27.93519612
5,0,0,100,10,FALSE,0,40,28.21650852
18,0,0,100,6,FALSE,1,40,29.10009183
7,0,0,100,14,FALSE,0,40,26.04718514
10,0,0,100,20,FALSE,0,40,25.94123049
6,0,0,100,12,FALSE,0,40,26.66750146
8,0,0,100,16,FALSE,0,40,27.03703704
13,0,0,100,26,FALSE,0,40,25.65472911
11,0,0,100,22,FALSE,0,40,26.33914907
19,0,0,100,8,FALSE,1,40,28.44680572
15,0,0,100,30,FALSE,0,40,26.78350907
12,0,0,100,24,FALSE,0,40,26.07697529
21,0,0,100,12,FALSE,1,40,27.75273395
20,0,0,100,10,FALSE,1,40,28.57361494
14,0,0,100,28,FALSE,0,40,25.7167636
31,0,0,100,2,FALSE,2,40,50
22,0,0,100,14,FALSE,1,40,27.31864096
32,0,0,100,4,FALSE,2,40,32.98132844
24,0,0,100,18,FALSE,1,40,26.70825906
33,0,0,100,6,FALSE,2,40,30.71625344
35,0,0,100,10,FALSE,2,40,28.67564534
23,0,0,100,16,FALSE,1,40,27.73492501
25,0,0,100,20,FALSE,1,40,26.57918902
34,0,0,100,8,FALSE,2,40,28.56486947
27,0,0,100,24,FALSE,1,40,27.12700124
36,0,0,100,12,FALSE,2,40,28.85466233
26,0,0,100,22,FALSE,1,40,27.56788666
38,0,0,100,16,FALSE,2,40,29.84083257
28,0,0,100,26,FALSE,1,40,27.11294766
37,0,0,100,14,FALSE,2,40,28.68192414
29,0,0,100,28,FALSE,1,40,27.12478319
46,0,0,100,2,FALSE,3,40,50
39,0,0,100,18,FALSE,2,40,29.20920434
30,0,0,100,30,FALSE,1,40,27.26797758
47,0,0,100,4,FALSE,3,40,33.01193756
40,0,0,100,20,FALSE,2,40,28.28524479
41,0,0,100,22,FALSE,2,40,28.72666054
42,0,0,100,24,FALSE,2,40,28.08519982
48,0,0,100,6,FALSE,3,40,31.68962351
50,0,0,100,10,FALSE,3,40,30.58361392
49,0,0,100,8,FALSE,3,40,29.94227994
43,0,0,100,26,FALSE,2,40,27.58310376
61,0,0,100,2,FALSE,4,40,50
45,0,0,100,30,FALSE,2,40,27.53712675
51,0,0,100,12,FALSE,3,40,31.17539027
52,0,0,100,14,FALSE,3,40,30.7586353
53,0,0,100,16,FALSE,3,40,29.91429446
62,0,0,100,4,FALSE,4,40,33.22620141
54,0,0,100,18,FALSE,3,40,29.03095122
55,0,0,100,20,FALSE,3,40,29.2180175
63,0,0,100,6,FALSE,4,40,31.10192837
64,0,0,100,8,FALSE,4,40,32.65774629
56,0,0,100,22,FALSE,3,40,28.61734225
57,0,0,100,24,FALSE,3,40,29.81794227
44,0,0,100,28,FALSE,2,40,27.68935143
58,0,0,100,26,FALSE,3,40,28.48668503
65,0,0,100,10,FALSE,4,40,33.10376492
66,0,0,100,12,FALSE,4,40,31.68461474
76,0,0,100,2,FALSE,5,40,50
59,0,0,100,28,FALSE,3,40,28.50219365
67,0,0,100,14,FALSE,4,40,31.38729957
77,0,0,100,4,FALSE,5,40,32.88950107
60,0,0,100,30,FALSE,3,40,28.33824135
68,0,0,100,16,FALSE,4,40,30.31833486
78,0,0,100,6,FALSE,5,40,33.80165289
69,0,0,100,18,FALSE,4,40,30.26251823
70,0,0,100,20,FALSE,4,40,30.13629114
71,0,0,100,22,FALSE,4,40,30.8343172
