,influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
0,0.0,0.0,100.0,2.0,0.0,0.0,20.0,50.0
1,0.0,0.0,100.0,2.0,0.0,1.0,20.0,50.0
2,0.0,0.0,100.0,2.0,0.0,2.0,20.0,50.0
3,0.0,0.0,100.0,2.0,0.0,3.0,20.0,50.0
4,0.0,0.0,100.0,2.0,0.0,4.0,20.0,50.0
5,0.0,0.0,100.0,2.0,0.0,5.0,20.0,50.0
6,0.0,0.0,100.0,2.0,0.0,6.0,20.0,50.0
7,0.0,0.0,100.0,2.0,0.0,7.0,20.0,50.0
8,0.0,0.0,100.0,2.0,0.0,8.0,20.0,50.0
9,0.0,0.0,100.0,2.0,0.0,9.0,20.0,50.0
10,0.0,0.0,100.0,2.0,0.0,10.0,20.0,50.0
11,0.0,0.0,100.0,2.0,0.0,11.0,20.0,50.0
12,0.0,0.0,100.0,2.0,0.0,12.0,20.0,50.0
13,0.0,0.0,100.0,2.0,0.0,13.0,20.0,50.0
14,0.0,0.0,100.0,2.0,0.0,14.0,20.0,50.0
15,0.0,0.0,100.0,2.0,0.0,15.0,20.0,49.944903583
16,0.0,0.0,100.0,2.0,0.0,16.0,20.0,49.898989900000004
17,0.0,0.0,100.0,2.0,0.0,17.0,20.0,49.807162536
18,0.0,0.0,100.0,2.0,0.0,18.0,20.0,49.660238751
19,0.0,0.0,100.0,2.0,0.0,19.0,20.0,49.623507804999996
20,0.0,0.0,100.0,2.0,0.0,20.0,20.0,49.384756657000004
21,0.0,0.0,100.0,2.0,0.0,21.0,20.0,49.136822773000006
22,0.0,0.0,100.0,2.0,0.0,22.0,20.0,48.787878789000004
23,0.0,0.0,100.0,2.0,0.0,23.0,20.0,48.374655645999994
24,0.0,0.0,100.0,2.0,0.0,24.0,20.0,47.943067033
25,0.0,0.0,100.0,2.0,0.0,25.0,20.0,47.584940312
26,0.0,0.0,100.0,2.0,0.0,26.0,20.0,47.061524335
27,0.0,0.0,100.0,2.0,0.0,27.0,20.0,46.960514234
28,0.0,0.0,100.0,2.0,0.0,28.0,20.0,45.968778694
29,0.0,0.0,100.0,2.0,0.0,29.0,20.0,45.54637282
30,0.0,0.0,100.0,2.0,0.0,30.0,20.0,45.087235996
31,0.0,0.0,100.0,12.0,0.0,0.0,20.0,27.311127807
32,0.0,0.0,100.0,12.0,0.0,1.0,20.0,27.257700977000002
33,0.0,0.0,100.0,12.0,0.0,2.0,20.0,28.185157358999998
34,0.0,0.0,100.0,12.0,0.0,3.0,20.0,30.012521913
35,0.0,0.0,100.0,12.0,0.0,4.0,20.0,31.091076050000005
36,0.0,0.0,100.0,12.0,0.0,5.0,20.0,31.727189248000002
37,0.0,0.0,100.0,12.0,0.0,6.0,20.0,31.996827780999997
38,0.0,0.0,100.0,12.0,0.0,7.0,20.0,32.880040069
39,0.0,0.0,100.0,12.0,0.0,8.0,20.0,33.281576092
40,0.0,0.0,100.0,12.0,0.0,9.0,20.0,33.967776943
41,0.0,0.0,100.0,12.0,0.0,10.0,20.0,34.782536107
42,0.0,0.0,100.0,12.0,0.0,11.0,20.0,35.108105851000005
43,0.0,0.0,100.0,12.0,0.0,12.0,20.0,35.19492445
44,0.0,0.0,100.0,12.0,0.0,13.0,20.0,36.028883883000006
45,0.0,0.0,100.0,12.0,0.0,14.0,20.0,36.169964104
46,0.0,0.0,100.0,12.0,0.0,15.0,20.0,36.04224058799999
47,0.0,0.0,100.0,12.0,0.0,16.0,20.0,36.144085484
48,0.0,0.0,100.0,12.0,0.0,17.0,20.0,36.000500877
49,0.0,0.0,100.0,12.0,0.0,18.0,20.0,35.870272977999996
50,0.0,0.0,100.0,12.0,0.0,19.0,20.0,35.770932465
51,0.0,0.0,100.0,12.0,0.0,20.0,20.0,35.317639201999995
52,0.0,0.0,100.0,12.0,0.0,21.0,20.0,34.977877953
53,0.0,0.0,100.0,12.0,0.0,22.0,20.0,34.375991318
54,0.0,0.0,100.0,12.0,0.0,23.0,20.0,33.70899073499999
55,0.0,0.0,100.0,12.0,0.0,24.0,20.0,33.318307037
56,0.0,0.0,100.0,12.0,0.0,25.0,20.0,32.669671927
57,0.0,0.0,100.0,12.0,0.0,26.0,20.0,31.564404373000002
58,0.0,0.0,100.0,12.0,0.0,27.0,20.0,30.458302027000002
59,0.0,0.0,100.0,12.0,0.0,28.0,20.0,29.927372903000002
60,0.0,0.0,100.0,12.0,0.0,29.0,20.0,28.857166708000005
61,0.0,0.0,100.0,12.0,0.0,30.0,20.0,28.52742299
62,0.0,0.0,100.0,4.0,0.0,0.0,20.0,33.287419650000004
63,0.0,0.0,100.0,4.0,0.0,1.0,20.0,33.296602388000004
64,0.0,0.0,100.0,4.0,0.0,2.0,20.0,33.161922254
65,0.0,0.0,100.0,4.0,0.0,3.0,20.0,33.33027242199999
66,0.0,0.0,100.0,4.0,0.0,4.0,20.0,33.792470157000004
67,0.0,0.0,100.0,4.0,0.0,5.0,20.0,33.262932353
68,0.0,0.0,100.0,4.0,0.0,6.0,20.0,33.722069176
69,0.0,0.0,100.0,4.0,0.0,7.0,20.0,34.392408939000006
70,0.0,0.0,100.0,4.0,0.0,8.0,20.0,35.583103765
71,0.0,0.0,100.0,4.0,0.0,9.0,20.0,36.880930517
72,0.0,0.0,100.0,4.0,0.0,10.0,20.0,38.42056933
73,0.0,0.0,100.0,4.0,0.0,11.0,20.0,39.409243956000005
74,0.0,0.0,100.0,4.0,0.0,12.0,20.0,40.572390572
75,0.0,0.0,100.0,4.0,0.0,13.0,20.0,42.011019285
76,0.0,0.0,100.0,4.0,0.0,14.0,20.0,42.580348945
77,0.0,0.0,100.0,4.0,0.0,15.0,20.0,43.495561677000005
78,0.0,0.0,100.0,4.0,0.0,16.0,20.0,43.890419345
79,0.0,0.0,100.0,4.0,0.0,17.0,20.0,44.383226203
80,0.0,0.0,100.0,4.0,0.0,18.0,20.0,44.361799815999994
81,0.0,0.0,100.0,4.0,0.0,19.0,20.0,44.21181512
82,0.0,0.0,100.0,4.0,0.0,20.0,20.0,44.297520662000004
