[run number],influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
16,75,0,100,100,FALSE,0,10,25.40974483
6,25,0,100,100,FALSE,0,10,24.82446133
3,10,0,100,100,FALSE,0,10,25.31698992
12,55,0,100,100,FALSE,0,10,24.90052036
10,45,0,100,100,FALSE,0,10,25.01368135
7,30,0,100,100,FALSE,0,10,24.73077886
14,65,0,100,100,FALSE,0,10,25.00626096
15,70,0,100,100,FALSE,0,10,25.43107846
1,0,0,100,100,FALSE,0,10,25.80395321
11,50,0,100,100,FALSE,0,10,24.93762232
4,15,0,100,100,FALSE,0,10,25.04243537
8,35,0,100,100,FALSE,0,10,25.7659237
13,60,0,100,100,FALSE,0,10,25.03315988
5,20,0,100,100,FALSE,0,10,24.69738709
2,5,0,100,100,FALSE,0,10,25.71769114
9,40,0,100,100,FALSE,0,10,25.85218577
17,80,0,100,100,FALSE,0,10,25.53403642
19,90,0,100,100,FALSE,0,10,25.63699437
20,95,0,100,100,FALSE,0,10,24.59999443
21,100,0,100,100,FALSE,0,10,25.00347831
18,85,0,100,100,FALSE,0,10,24.78921446
22,0,0,100,100,FALSE,5,10,27.74624111
24,10,0,100,100,FALSE,5,10,28.29720529
23,5,0,100,100,FALSE,5,10,28.44375806
28,30,0,100,100,FALSE,5,10,29.22846463
25,15,0,100,100,FALSE,5,10,28.56619454
27,25,0,100,100,FALSE,5,10,28.57268739
26,20,0,100,100,FALSE,5,10,29.01049058
29,35,0,100,100,FALSE,5,10,28.51146915
31,45,0,100,100,FALSE,5,10,28.68770348
32,50,0,100,100,FALSE,5,10,29.1524056
30,40,0,100,100,FALSE,5,10,28.94370704
33,55,0,100,100,FALSE,5,10,27.36316331
36,70,0,100,100,FALSE,5,10,28.6635872
34,60,0,100,100,FALSE,5,10,29.24887071
37,75,0,100,100,FALSE,5,10,28.95298253
38,80,0,100,100,FALSE,5,10,28.38625001
35,65,0,100,100,FALSE,5,10,29.37687249
44,5,0,100,100,FALSE,10,10,29.83971951
39,85,0,100,100,FALSE,5,10,27.40026528
42,100,0,100,100,FALSE,5,10,29.5809333
41,95,0,100,100,FALSE,5,10,29.0995353
40,90,0,100,100,FALSE,5,10,27.810242
43,0,0,100,100,FALSE,10,10,29.05037519
46,15,0,100,100,FALSE,10,10,30.80529816
45,10,0,100,100,FALSE,10,10,29.32863993
48,25,0,100,100,FALSE,10,10,30.75150031
47,20,0,100,100,FALSE,10,10,30.96483661
49,30,0,100,100,FALSE,10,10,31.18095556
50,35,0,100,100,FALSE,10,10,30.55949764
51,40,0,100,100,FALSE,10,10,31.26721763
