,influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
0,25.0,0.0,100.0,100.0,0.0,0.0,2.0,19.980150448
1,5.0,0.0,100.0,100.0,0.0,0.0,2.0,18.935822874
2,60.0,0.0,100.0,100.0,0.0,0.0,2.0,21.958705512
3,50.0,0.0,100.0,100.0,0.0,0.0,2.0,21.303299291
4,10.0,0.0,100.0,100.0,0.0,0.0,2.0,19.438090732
5,70.0,0.0,100.0,100.0,0.0,0.0,2.0,22.326293236
6,75.0,0.0,100.0,100.0,0.0,0.0,2.0,22.545380341
7,15.0,0.0,100.0,100.0,0.0,0.0,2.0,19.743903683
8,20.0,0.0,100.0,100.0,0.0,0.0,2.0,19.751787849000003
9,0.0,0.0,100.0,100.0,0.0,0.0,2.0,18.84418102
10,40.0,0.0,100.0,100.0,0.0,0.0,2.0,21.027538933
11,45.0,0.0,100.0,100.0,0.0,0.0,2.0,21.507545611
12,55.0,0.0,100.0,100.0,0.0,0.0,2.0,21.599743996999997
13,30.0,0.0,100.0,100.0,0.0,0.0,2.0,20.570628229
14,35.0,0.0,100.0,100.0,0.0,0.0,2.0,21.11732569
15,65.0,0.0,100.0,100.0,0.0,0.0,2.0,22.182152100000003
16,80.0,0.0,100.0,100.0,0.0,0.0,2.0,22.779493744000003
17,85.0,0.0,100.0,100.0,0.0,0.0,2.0,23.035868324
18,95.0,0.0,100.0,100.0,0.0,0.0,2.0,23.263767148999996
19,100.0,0.0,100.0,100.0,0.0,0.0,2.0,23.376000593000004
20,90.0,0.0,100.0,100.0,0.0,0.0,2.0,23.307083693
21,0.0,0.0,100.0,100.0,0.0,5.0,2.0,19.139327155
22,5.0,0.0,100.0,100.0,0.0,5.0,2.0,19.366020164
23,10.0,0.0,100.0,100.0,0.0,5.0,2.0,19.394310414
24,25.0,0.0,100.0,100.0,0.0,5.0,2.0,20.021426384
25,15.0,0.0,100.0,100.0,0.0,5.0,2.0,19.826548311000003
26,20.0,0.0,100.0,100.0,0.0,5.0,2.0,20.162228344
27,30.0,0.0,100.0,100.0,0.0,5.0,2.0,20.127816271999997
28,35.0,0.0,100.0,100.0,0.0,5.0,2.0,20.291899714000003
29,45.0,0.0,100.0,100.0,0.0,5.0,2.0,21.335206981000002
30,50.0,0.0,100.0,100.0,0.0,5.0,2.0,21.247089814
31,40.0,0.0,100.0,100.0,0.0,5.0,2.0,21.010657539
32,55.0,0.0,100.0,100.0,0.0,5.0,2.0,21.700475834
33,60.0,0.0,100.0,100.0,0.0,5.0,2.0,21.925870274
34,70.0,0.0,100.0,100.0,0.0,5.0,2.0,22.272217121
35,65.0,0.0,100.0,100.0,0.0,5.0,2.0,21.743421358
36,85.0,0.0,100.0,100.0,0.0,5.0,2.0,23.401322685
37,90.0,0.0,100.0,100.0,0.0,5.0,2.0,23.349287178
38,95.0,0.0,100.0,100.0,0.0,5.0,2.0,23.246792999000004
39,75.0,0.0,100.0,100.0,0.0,5.0,2.0,22.97780375
40,80.0,0.0,100.0,100.0,0.0,5.0,2.0,23.306248898
41,100.0,0.0,100.0,100.0,0.0,5.0,2.0,22.839320662000002
