[run number],influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
1,0,0,1,2,TRUE,0,20,0.439430798
3,0,0,1,6,TRUE,0,20,0.324631801
2,0,0,1,4,TRUE,0,20,0.323433271
16,0,0,1,2,TRUE,0.1,20,-0.459442222
9,0,0,1,18,TRUE,0,20,1.035360538
17,0,0,1,4,TRUE,0.1,20,0.851166996
11,0,0,1,22,TRUE,0,20,0.667421054
6,0,0,1,12,TRUE,0,20,0.334401363
4,0,0,1,8,TRUE,0,20,1.293564201
10,0,0,1,20,TRUE,0,20,0.724182663
7,0,0,1,14,TRUE,0,20,1.21013347
5,0,0,1,10,TRUE,0,20,1.237730718
18,0,0,1,6,TRUE,0.1,20,1.298338689
13,0,0,1,26,TRUE,0,20,0.736632177
8,0,0,1,16,TRUE,0,20,1.24109828
14,0,0,1,28,TRUE,0,20,0.944466961
19,0,0,1,8,TRUE,0.1,20,1.025348796
12,0,0,1,24,TRUE,0,20,0.787622691
21,0,0,1,12,TRUE,0.1,20,0.970393447
20,0,0,1,10,TRUE,0.1,20,0.718479294
22,0,0,1,14,TRUE,0.1,20,0.978204914
15,0,0,1,30,TRUE,0,20,1.151285638
24,0,0,1,18,TRUE,0.1,20,0.804510653
32,0,0,1,4,TRUE,0.2,20,0.671762545
23,0,0,1,16,TRUE,0.1,20,1.103999493
33,0,0,1,6,TRUE,0.2,20,1.062687847
31,0,0,1,2,TRUE,0.2,20,0.221085759
25,0,0,1,20,TRUE,0.1,20,0.990328823
27,0,0,1,24,TRUE,0.1,20,0.884924806
26,0,0,1,22,TRUE,0.1,20,1.038200017
35,0,0,1,10,TRUE,0.2,20,0.740672222
28,0,0,1,26,TRUE,0.1,20,0.960263107
36,0,0,1,12,TRUE,0.2,20,0.615032816
30,0,0,1,30,TRUE,0.1,20,1.116670722
37,0,0,1,14,TRUE,0.2,20,1.152183032
34,0,0,1,8,TRUE,0.2,20,0.884033835
29,0,0,1,28,TRUE,0.1,20,0.893265542
47,0,0,1,4,TRUE,0.3,20,0.862987978
46,0,0,1,2,TRUE,0.3,20,1.774468307
39,0,0,1,18,TRUE,0.2,20,0.829824029
48,0,0,1,6,TRUE,0.3,20,1.458647773
40,0,0,1,20,TRUE,0.2,20,0.698945398
38,0,0,1,16,TRUE,0.2,20,1.123492485
49,0,0,1,8,TRUE,0.3,20,1.08812269
42,0,0,1,24,TRUE,0.2,20,1.199155638
41,0,0,1,22,TRUE,0.2,20,0.871676812
50,0,0,1,10,TRUE,0.3,20,1.060439556
43,0,0,1,26,TRUE,0.2,20,1.062723963
44,0,0,1,28,TRUE,0.2,20,0.923646189
51,0,0,1,12,TRUE,0.3,20,1.276721448
61,0,0,1,2,TRUE,0.4,20,0.694887911
62,0,0,1,4,TRUE,0.4,20,1.313534066
45,0,0,1,30,TRUE,0.2,20,1.053685109
52,0,0,1,14,TRUE,0.3,20,0.707704453
53,0,0,1,16,TRUE,0.3,20,1.043101401
54,0,0,1,18,TRUE,0.3,20,1.128716311
55,0,0,1,20,TRUE,0.3,20,1.56198225
63,0,0,1,6,TRUE,0.4,20,0.679921365
56,0,0,1,22,TRUE,0.3,20,0.833891025
64,0,0,1,8,TRUE,0.4,20,0.908429289
66,0,0,1,12,TRUE,0.4,20,0.850185321
58,0,0,1,26,TRUE,0.3,20,0.846830773
57,0,0,1,24,TRUE,0.3,20,1.142046795
65,0,0,1,10,TRUE,0.4,20,1.515675498
67,0,0,1,14,TRUE,0.4,20,1.644450437
68,0,0,1,16,TRUE,0.4,20,1.230886741
59,0,0,1,28,TRUE,0.3,20,1.415715331
76,0,0,1,2,TRUE,0.5,20,0.442768521
69,0,0,1,18,TRUE,0.4,20,0.785244127
60,0,0,1,30,TRUE,0.3,20,0.731983514
77,0,0,1,4,TRUE,0.5,20,0.279643019
70,0,0,1,20,TRUE,0.4,20,1.031331776
78,0,0,1,6,TRUE,0.5,20,0.10652976
79,0,0,1,8,TRUE,0.5,20,0.680885135
71,0,0,1,22,TRUE,0.4,20,1.451571962
72,0,0,1,24,TRUE,0.4,20,1.730891469
80,0,0,1,10,TRUE,0.5,20,1.224172438
81,0,0,1,12,TRUE,0.5,20,1.513406232
74,0,0,1,28,TRUE,0.4,20,1.213522348
73,0,0,1,26,TRUE,0.4,20,1.270277399
91,0,0,1,2,TRUE,0.6,20,1.934410078
75,0,0,1,30,TRUE,0.4,20,1.142972644
92,0,0,1,4,TRUE,0.6,20,0.410663194
82,0,0,1,14,TRUE,0.5,20,0.923530952
83,0,0,1,16,TRUE,0.5,20,1.334072215
93,0,0,1,6,TRUE,0.6,20,1.309046771
84,0,0,1,18,TRUE,0.5,20,1.811541826
85,0,0,1,20,TRUE,0.5,20,0.559011502
94,0,0,1,8,TRUE,0.6,20,0.980770893
86,0,0,1,22,TRUE,0.5,20,1.035970273
87,0,0,1,24,TRUE,0.5,20,0.399765252
95,0,0,1,10,TRUE,0.6,20,1.248846124
88,0,0,1,26,TRUE,0.5,20,1.048790899
96,0,0,1,12,TRUE,0.6,20,0.374012696
89,0,0,1,28,TRUE,0.5,20,0.924467158
97,0,0,1,14,TRUE,0.6,20,0.808646419
98,0,0,1,16,TRUE,0.6,20,0.986498175
107,0,0,1,4,TRUE,0.7,20,0.291756351
90,0,0,1,30,TRUE,0.5,20,0.877494768
106,0,0,1,2,TRUE,0.7,20,0.273429994
99,0,0,1,18,TRUE,0.6,20,1.183821999
100,0,0,1,20,TRUE,0.6,20,1.474575924
108,0,0,1,6,TRUE,0.7,20,0.315033556
101,0,0,1,22,TRUE,0.6,20,0.90954224
109,0,0,1,8,TRUE,0.7,20,1.259238496
102,0,0,1,24,TRUE,0.6,20,0.968484086
111,0,0,1,12,TRUE,0.7,20,1.047802387
104,0,0,1,28,TRUE,0.6,20,0.82581107
110,0,0,1,10,TRUE,0.7,20,-0.096951743
103,0,0,1,26,TRUE,0.6,20,0.76076024
112,0,0,1,14,TRUE,0.7,20,0.977525727
113,0,0,1,16,TRUE,0.7,20,1.187486267
105,0,0,1,30,TRUE,0.6,20,1.353487373
121,0,0,1,2,TRUE,0.8,20,1.229150729
122,0,0,1,4,TRUE,0.8,20,0.421310381
114,0,0,1,18,TRUE,0.7,20,1.186902366
123,0,0,1,6,TRUE,0.8,20,1.944111249
115,0,0,1,20,TRUE,0.7,20,0.541660552
116,0,0,1,22,TRUE,0.7,20,1.465676193
117,0,0,1,24,TRUE,0.7,20,1.311430499
124,0,0,1,8,TRUE,0.8,20,0.961360704
125,0,0,1,10,TRUE,0.8,20,0.543812533
126,0,0,1,12,TRUE,0.8,20,0.568040963
118,0,0,1,26,TRUE,0.7,20,1.046329122
119,0,0,1,28,TRUE,0.7,20,1.36858914
136,0,0,1,2,TRUE,0.9,20,0.628890829
127,0,0,1,14,TRUE,0.8,20,1.221792122
128,0,0,1,16,TRUE,0.8,20,0.97366781
129,0,0,1,18,TRUE,0.8,20,0.727686579
120,0,0,1,30,TRUE,0.7,20,0.920917447
137,0,0,1,4,TRUE,0.9,20,-0.585896522
130,0,0,1,20,TRUE,0.8,20,1.006923136
138,0,0,1,6,TRUE,0.9,20,0.441884255
131,0,0,1,22,TRUE,0.8,20,1.163071622
132,0,0,1,24,TRUE,0.8,20,1.641847164
139,0,0,1,8,TRUE,0.9,20,0.71616826
140,0,0,1,10,TRUE,0.9,20,0.934754777
133,0,0,1,26,TRUE,0.8,20,1.673731717
141,0,0,1,12,TRUE,0.9,20,0.697869404
134,0,0,1,28,TRUE,0.8,20,1.167570862
142,0,0,1,14,TRUE,0.9,20,0.931648686
143,0,0,1,16,TRUE,0.9,20,1.011057326
135,0,0,1,30,TRUE,0.8,20,1.151120232
151,0,0,1,2,TRUE,1,20,-0.273109623
152,0,0,1,4,TRUE,1,20,0.77961831
144,0,0,1,18,TRUE,0.9,20,0.373179733
145,0,0,1,20,TRUE,0.9,20,0.887921694
146,0,0,1,22,TRUE,0.9,20,0.659053214
154,0,0,1,8,TRUE,1,20,1.236751307
147,0,0,1,24,TRUE,0.9,20,1.371216245
153,0,0,1,6,TRUE,1,20,-1.133454501
148,0,0,1,26,TRUE,0.9,20,1.396863315
155,0,0,1,10,TRUE,1,20,0.279792996
156,0,0,1,12,TRUE,1,20,0.589372802
149,0,0,1,28,TRUE,0.9,20,0.813359048
150,0,0,1,30,TRUE,0.9,20,0.928101066
157,0,0,1,14,TRUE,1,20,0.792904585
166,0,0,1,2,TRUE,1.1,20,0.501813185
158,0,0,1,16,TRUE,1,20,0.558355694
167,0,0,1,4,TRUE,1.1,20,0.018182772
159,0,0,1,18,TRUE,1,20,0.485746942
160,0,0,1,20,TRUE,1,20,1.249859353
168,0,0,1,6,TRUE,1.1,20,1.112825378
169,0,0,1,8,TRUE,1.1,20,0.594951464
161,0,0,1,22,TRUE,1,20,0.789171925
162,0,0,1,24,TRUE,1,20,1.009007961
170,0,0,1,10,TRUE,1.1,20,-0.02245178
163,0,0,1,26,TRUE,1,20,0.467932449
171,0,0,1,12,TRUE,1.1,20,0.125390407
172,0,0,1,14,TRUE,1.1,20,0.110719707
164,0,0,1,28,TRUE,1,20,1.090704516
181,0,0,1,2,TRUE,1.2,20,-0.399053739
173,0,0,1,16,TRUE,1.1,20,0.654082422
165,0,0,1,30,TRUE,1,20,1.125227742
174,0,0,1,18,TRUE,1.1,20,0.029574981
182,0,0,1,4,TRUE,1.2,20,0.110075757
175,0,0,1,20,TRUE,1.1,20,1.254495671
183,0,0,1,6,TRUE,1.2,20,0.015479776
184,0,0,1,8,TRUE,1.2,20,0.775221851
177,0,0,1,24,TRUE,1.1,20,1.074995545
176,0,0,1,22,TRUE,1.1,20,1.547046204
178,0,0,1,26,TRUE,1.1,20,0.997523814
185,0,0,1,10,TRUE,1.2,20,1.41291736
186,0,0,1,12,TRUE,1.2,20,0.970297381
179,0,0,1,28,TRUE,1.1,20,1.564646163
187,0,0,1,14,TRUE,1.2,20,1.096725764
180,0,0,1,30,TRUE,1.1,20,0.449772734
189,0,0,1,18,TRUE,1.2,20,1.232825796
188,0,0,1,16,TRUE,1.2,20,1.196430714
198,0,0,1,6,TRUE,1.3,20,0.590765298
196,0,0,1,2,TRUE,1.3,20,-0.187141991
197,0,0,1,4,TRUE,1.3,20,-0.465393829
190,0,0,1,20,TRUE,1.2,20,0.719618484
191,0,0,1,22,TRUE,1.2,20,0.112029784
192,0,0,1,24,TRUE,1.2,20,0.643991109
199,0,0,1,8,TRUE,1.3,20,0.508908063
200,0,0,1,10,TRUE,1.3,20,1.718276126
193,0,0,1,26,TRUE,1.2,20,1.053427064
194,0,0,1,28,TRUE,1.2,20,1.038760144
201,0,0,1,12,TRUE,1.3,20,1.041399131
202,0,0,1,14,TRUE,1.3,20,0.837655732
211,0,0,1,2,TRUE,1.4,20,0.036143208
195,0,0,1,30,TRUE,1.2,20,0.420240948
212,0,0,1,4,TRUE,1.4,20,1.514255822
203,0,0,1,16,TRUE,1.3,20,0.071279709
204,0,0,1,18,TRUE,1.3,20,0.764597563
213,0,0,1,6,TRUE,1.4,20,0.100912131
206,0,0,1,22,TRUE,1.3,20,0.74472247
205,0,0,1,20,TRUE,1.3,20,0.800544977
214,0,0,1,8,TRUE,1.4,20,0.254075607
207,0,0,1,24,TRUE,1.3,20,0.354830357
215,0,0,1,10,TRUE,1.4,20,0.033219563
216,0,0,1,12,TRUE,1.4,20,1.262704863
208,0,0,1,26,TRUE,1.3,20,0.497237414
209,0,0,1,28,TRUE,1.3,20,0.711851042
217,0,0,1,14,TRUE,1.4,20,0.480335686
226,0,0,1,2,TRUE,1.5,20,-1.085615513
210,0,0,1,30,TRUE,1.3,20,0.529460563
227,0,0,1,4,TRUE,1.5,20,1.30211869
219,0,0,1,18,TRUE,1.4,20,0.25842095
218,0,0,1,16,TRUE,1.4,20,0.533626428
228,0,0,1,6,TRUE,1.5,20,0.748983557
220,0,0,1,20,TRUE,1.4,20,0.873162489
229,0,0,1,8,TRUE,1.5,20,0.790402945
221,0,0,1,22,TRUE,1.4,20,0.395438801
230,0,0,1,10,TRUE,1.5,20,1.076849329
222,0,0,1,24,TRUE,1.4,20,0.68043765
223,0,0,1,26,TRUE,1.4,20,0.871045798
231,0,0,1,12,TRUE,1.5,20,0.670155577
224,0,0,1,28,TRUE,1.4,20,0.554768281
232,0,0,1,14,TRUE,1.5,20,0.753998413
233,0,0,1,16,TRUE,1.5,20,0.906504161
234,0,0,1,18,TRUE,1.5,20,1.253029401
241,0,0,1,2,TRUE,1.6,20,-0.476465277
225,0,0,1,30,TRUE,1.4,20,0.426546065
242,0,0,1,4,TRUE,1.6,20,0.49986862
243,0,0,1,6,TRUE,1.6,20,-0.174307404
235,0,0,1,20,TRUE,1.5,20,0.530860358
236,0,0,1,22,TRUE,1.5,20,1.380350279
244,0,0,1,8,TRUE,1.6,20,0.053691972
246,0,0,1,12,TRUE,1.6,20,2.077712076
245,0,0,1,10,TRUE,1.6,20,-0.047238118
237,0,0,1,24,TRUE,1.5,20,0.686312374
238,0,0,1,26,TRUE,1.5,20,1.019796068
239,0,0,1,28,TRUE,1.5,20,1.218251951
256,0,0,1,2,TRUE,1.7,20,0.897053531
248,0,0,1,16,TRUE,1.6,20,0.068351242
257,0,0,1,4,TRUE,1.7,20,0.041737283
247,0,0,1,14,TRUE,1.6,20,-3.12E-04
240,0,0,1,30,TRUE,1.5,20,0.14479466
258,0,0,1,6,TRUE,1.7,20,1.229050255
250,0,0,1,20,TRUE,1.6,20,0.409951623
249,0,0,1,18,TRUE,1.6,20,0.491536731
259,0,0,1,8,TRUE,1.7,20,0.145652136
252,0,0,1,24,TRUE,1.6,20,0.318047975
251,0,0,1,22,TRUE,1.6,20,0.80542884
260,0,0,1,10,TRUE,1.7,20,-0.242186856
262,0,0,1,14,TRUE,1.7,20,0.327359189
261,0,0,1,12,TRUE,1.7,20,0.043080518
263,0,0,1,16,TRUE,1.7,20,0.992688159
253,0,0,1,26,TRUE,1.6,20,0.716041968
264,0,0,1,18,TRUE,1.7,20,0.190647201
255,0,0,1,30,TRUE,1.6,20,0.453375545
254,0,0,1,28,TRUE,1.6,20,0.277866989
271,0,0,1,2,TRUE,1.8,20,-0.767892644
272,0,0,1,4,TRUE,1.8,20,0.645845642
265,0,0,1,20,TRUE,1.7,20,0.456769357
267,0,0,1,24,TRUE,1.7,20,0.614707787
273,0,0,1,6,TRUE,1.8,20,0.621802219
274,0,0,1,8,TRUE,1.8,20,0.420047173
266,0,0,1,22,TRUE,1.7,20,0.545363622
268,0,0,1,26,TRUE,1.7,20,0.446448584
276,0,0,1,12,TRUE,1.8,20,1.287819331
275,0,0,1,10,TRUE,1.8,20,0.254137149
270,0,0,1,30,TRUE,1.7,20,0.075801776
278,0,0,1,16,TRUE,1.8,20,0.78536208
269,0,0,1,28,TRUE,1.7,20,0.708719971
277,0,0,1,14,TRUE,1.8,20,0.236157708
286,0,0,1,2,TRUE,1.9,20,1.111255609
279,0,0,1,18,TRUE,1.8,20,0.009182995
287,0,0,1,4,TRUE,1.9,20,0.278995223
288,0,0,1,6,TRUE,1.9,20,-0.077516161
281,0,0,1,22,TRUE,1.8,20,0.088483208
280,0,0,1,20,TRUE,1.8,20,0.592427962
289,0,0,1,8,TRUE,1.9,20,0.701096088
